index,name,datatype,source_node,source_property
209,UL17_25_VFD:I.SafeTorqueEnabled,BOOL,UL17_25_VFD_APF,safe_torque_enabled_tag_name
210,UL17_25_VFD:I.TripFaultCode,DINT,UL17_25_VFD_APF,trip_fault_code_tag_name
211,UL17_25_VFD:I.Velocity,REAL,UL17_25_VFD_APF,velocity_tag_name
212,UL20_19_DISC_OIP,BOOL,UL20_19_DISC,aux_disconnect_closed_tag_name
213,UL20_19_EPC1_CH1_OIP,BOOL,UL20_19_EPC1,channel_1_tag_name
214,UL20_19_EPC1_CH2_OIP,BOOL,UL20_19_EPC1,channel_2_tag_name
215,UL20_19_FIOM1_OIP,BOOL,UL20_19_FIOM1,pushbutton_tag_name
216,UL20_19_S1_PB_OIP,BOOL,UL20_19_S1,pushbutton_tag_name
217,UL20_19_TPE1_OIP,BOOL,UL20_19_TPE1,tag_name
218,UL20_19_VFD:I.ConnectionFaulted,BOOL,UL20_19_VFD_APF,connection_faulted_tag_name
219,UL20_19_VFD:I.DisconnectClosed,BOOL,UL20_19_VFD_APF,disconnect_closed_tag_name
220,UL20_19_VFD:I.Fault,BOOL,UL20_19_VFD_APF,fault_tag_name
221,UL20_19_VFD:I.KeypadHandMode,BOOL,UL20_19_VFD_APF,keypad_hand_mode_tag_name
222,UL20_19_VFD:I.OutputCurrent,REAL,UL20_19_VFD_APF,output_current_tag_name
223,UL20_19_VFD:I.OutputVoltage,REAL,UL20_19_VFD_APF,output_voltage_tag_name
224,UL20_19_VFD:I.Running,BOOL,UL20_19_VFD_APF,running_tag_name
225,UL20_19_VFD:I.SafeTorqueEnabled,BOOL,UL20_19_VFD_APF,safe_torque_enabled_tag_name
226,UL20_19_VFD:I.TripFaultCode,DINT,UL20_19_VFD_APF,trip_fault_code_tag_name
227,UL20_19_VFD:I.Velocity,REAL,UL20_19_VFD_APF,velocity_tag_name
228,UL20_20_DISC_OIP,BOOL,UL20_20_DISC,aux_disconnect_closed_tag_name
229,UL20_20_TPE1_OIP,BOOL,UL20_20_TPE1,tag_name
230,UL20_20_VFD:I.ConnectionFaulted,BOOL,UL20_20_VFD_APF,connection_faulted_tag_name
231,UL20_20_VFD:I.DisconnectClosed,BOOL,UL20_20_VFD_APF,disconnect_closed_tag_name
232,UL20_20_VFD:I.Fault,BOOL,UL20_20_VFD_APF,fault_tag_name
233,UL20_20_VFD:I.KeypadHandMode,BOOL,UL20_20_VFD_APF,keypad_hand_mode_tag_name
234,UL20_20_VFD:I.OutputCurrent,REAL,UL20_20_VFD_APF,output_current_tag_name
235,UL20_20_VFD:I.OutputVoltage,REAL,UL20_20_VFD_APF,output_voltage_tag_name
236,UL20_20_VFD:I.Running,BOOL,UL20_20_VFD_APF,running_tag_name
237,UL20_20_VFD:I.SafeTorqueEnabled,BOOL,UL20_20_VFD_APF,safe_torque_enabled_tag_name
238,UL20_20_VFD:I.TripFaultCode,DINT,UL20_20_VFD_APF,trip_fault_code_tag_name
239,UL20_20_VFD:I.Velocity,REAL,UL20_20_VFD_APF,velocity_tag_name
240,UL20_21_DISC_OIP,BOOL,UL20_21_DISC,aux_disconnect_closed_tag_name
241,UL20_21_TPE1_OIP,BOOL,UL20_21_TPE1,tag_name
242,UL20_21_VFD:I.ConnectionFaulted,BOOL,UL20_21_VFD_APF,connection_faulted_tag_name
243,UL20_21_VFD:I.DisconnectClosed,BOOL,UL20_21_VFD_APF,disconnect_closed_tag_name
244,UL20_21_VFD:I.Fault,BOOL,UL20_21_VFD_APF,fault_tag_name
245,UL20_21_VFD:I.KeypadHandMode,BOOL,UL20_21_VFD_APF,keypad_hand_mode_tag_name
246,UL20_21_VFD:I.OutputCurrent,REAL,UL20_21_VFD_APF,output_current_tag_name
247,UL20_21_VFD:I.OutputVoltage,REAL,UL20_21_VFD_APF,output_voltage_tag_name
248,UL20_21_VFD:I.Running,BOOL,UL20_21_VFD_APF,running_tag_name
249,UL20_21_VFD:I.SafeTorqueEnabled,BOOL,UL20_21_VFD_APF,safe_torque_enabled_tag_name
250,UL20_21_VFD:I.TripFaultCode,DINT,UL20_21_VFD_APF,trip_fault_code_tag_name
251,UL20_21_VFD:I.Velocity,REAL,UL20_21_VFD_APF,velocity_tag_name
252,UL20_22_DISC_OIP,BOOL,UL20_22_DISC,aux_disconnect_closed_tag_name
253,UL20_22_FIOM1_OIP,BOOL,UL20_22_FIOM1,pushbutton_tag_name
